id;data_pagamento;valor;metodo
1;2025-05-04;106,11;Correspond.
1;2025-06-04;77,53;Correspond.
1;2025-07-04;103,07;Correspond.
2;2023-08-14;97,38;Guichê
3;2024-03-26;101,85;Débito Autom.
3;2024-04-26;78,52;Eletrônico
3;2024-05-26;87,45;Eletrônico
3;2024-06-26;76,94;Eletrônico
3;2024-07-26;88,32;Eletrônico
3;2024-08-26;90,41;Eletrônico
3;2024-09-26;93,77;Eletrônico
3;2024-10-26;106,04;Eletrônico
3;2024-11-26;82,87;Correspond.
3;2024-12-26;87,75;Eletrônico
3;2025-01-26;73,16;Eletrônico
3;2025-02-26;95,74;Eletrônico
3;2025-03-26;91,58;Eletrônico
3;2025-04-26;99,79;Telefone
3;2025-05-26;93,42;PEC
3;2025-06-26;78,97;Eletrônico
4;2023-10-17;83,62;Pix
4;2023-11-17;101,72;Pix
4;2023-12-17;91,44;Pix
4;2024-01-17;74,6;Loja
4;2024-02-17;79,07;Pix
5;2023-08-21;97,34;Correspond.
5;2023-09-21;74,58;Cartão Recorrente
5;2023-10-21;102,96;Cartão Recorrente
5;2023-11-21;74,21;Cartão Recorrente
5;2023-12-21;98,16;Cartão Recorrente
5;2024-01-21;88,9;Eletrônico
5;2024-02-21;99,28;Cartão Recorrente
5;2024-03-21;89,68;Cartão Recorrente
5;2024-04-21;72,83;Cartão Recorrente
5;2024-05-21;94,81;Cartão Recorrente
5;2024-06-21;104,56;Cartão Recorrente
5;2024-07-21;99,09;Cartão Recorrente
5;2024-08-21;82,34;Cartão Recorrente
5;2024-09-21;100,98;Eletrônico
5;2024-10-21;100,82;PEC
5;2024-11-21;91,31;Pix
5;2024-12-21;83,36;Cartão Recorrente
5;2025-01-21;87,28;Cartão Recorrente
5;2025-02-21;72,17;PEC
5;2025-03-21;79,91;Cartão Recorrente
5;2025-04-21;105,83;Cartão Recorrente
5;2025-05-21;97,2;Cartão Recorrente
5;2025-06-21;106,53;Eletrônico
6;2025-05-15;89,8;PEC
6;2025-06-15;73,25;PEC
6;2025-07-15;73,77;PEC
7;2024-09-21;104,58;Eletrônico
7;2024-10-21;89,52;Eletrônico
7;2024-11-21;96,09;Eletrônico
7;2024-12-21;98,11;Eletrônico
7;2025-01-21;94,7;Eletrônico
7;2025-02-21;101,96;Eletrônico
7;2025-03-21;73,39;Eletrônico
7;2025-04-21;72,52;Eletrônico
7;2025-05-21;95,12;Eletrônico
7;2025-06-21;85,83;Eletrônico
8;2024-10-21;76,87;Guichê
8;2024-11-21;105,17;Pix
8;2024-12-21;95,65;Pix
8;2025-01-21;90,97;Pix
8;2025-02-21;104,18;Pix
8;2025-03-21;84,11;Pix
8;2025-04-21;104,18;Pix
8;2025-05-21;95,01;Pix
8;2025-06-21;104,23;Pix
9;2023-07-26;72,25;Débito Autom.
9;2023-08-26;72,1;Débito Autom.
9;2023-09-26;96,8;Débito Autom.
9;2023-10-26;97,53;Débito Autom.
9;2023-11-26;98,76;Débito Autom.
9;2023-12-26;95,57;Loja
9;2024-01-26;85,14;Débito Autom.
9;2024-02-26;106,91;Débito Autom.
9;2024-03-26;94,62;Internet
9;2024-04-26;92,67;Débito Autom.
9;2024-05-26;97,9;Débito Autom.
9;2024-06-26;95,13;Débito Autom.
9;2024-07-26;106,22;Guichê
9;2024-08-26;72,48;Débito Autom.
9;2024-09-26;106,68;Débito Autom.
9;2024-10-26;82,51;Débito Autom.
9;2024-11-26;83,32;Eletrônico
9;2024-12-26;105,58;Débito Autom.
9;2025-01-26;75,41;Débito Autom.
9;2025-02-26;76,96;Internet
9;2025-03-26;98,56;Correspond.
9;2025-04-26;84,85;Débito Autom.
9;2025-05-26;101,05;Correspond.
9;2025-06-26;90,31;Loja
10;2023-10-27;100,63;Internet
10;2023-11-27;100,54;Internet
10;2023-12-27;85,43;Internet
10;2024-01-27;73,21;Internet
10;2024-02-27;82,22;Internet
10;2024-03-27;73,26;Internet
10;2024-04-27;76,49;Internet
10;2024-05-27;79,68;Internet
10;2024-06-27;73,78;Internet
10;2024-07-27;94,84;Internet
10;2024-08-27;90,49;Internet
10;2024-09-27;81,66;Internet
10;2024-10-27;72,83;Internet
10;2024-11-27;96,95;Pix
10;2024-12-27;77,55;Internet
10;2025-01-27;97,62;Internet
